;Équipe;Stand;Origine;Cumul;Joués;Vict.;Égal.;Déf.
;;;;pts.;;;;
1er;Team Dynamics;D13; AUSTRIA;316;2;2;0;0
2nd;Bobst;L4; SWITZERLAND;241;2;2;0;0
3ème;Bot save the queen;D19; BELGIUM;239;2;2;0;0
4ème;Red Wire;D3; SPAIN;225;2;1;0;1
5ème;NaW Robotics;L11; SERBIA;220;2;2;0;0
6ème;Bodensee RobotiX;L7; GERMANY;203;2;1;0;1
7ème;MonSymphony;D5; BELGIUM;199;2;2;0;0
8ème;IEEE RAS INSAT;D18; TUNISIA;195;2;1;0;1
8ème;TDA;D12; AUSTRIA;195;2;1;0;1
8ème;RTFM;L6; SWITZERLAND;195;2;1;0;1
11ème;MAI;L10; GERMANY;177;2;1;0;1
12ème;The engineering way (TEW);D4; SPAIN;147;2;0;0;2
13ème;Hyperion Robotics;D9; GREECE;139;2;1;0;1
14ème;GRUM;D21; CANADA;137;2;1;0;1
15ème;FTN-electropioneer;L12; SERBIA;130;2;2;0;0
16ème;Gramme ‘N Roll;D6; BELGIUM;129;2;1;0;1
17ème;TeamAuto;L5; SWITZERLAND;110;2;1;0;1
18ème;TURAG;D2; GERMANY;83;2;1;0;1
19ème;+381Robotics;L13; SERBIA;82;2;0;0;2
20ème;DIT Robotics;D14; TAIWAN;72;2;0;0;2
21ème;Golden Wires UAH;d7; SPAIN;71;2;0;0;2
22ème;HMU Robotics Club;D16; GREECE;48;1;0;0;1
23ème;Aerobotix INSAT;D17; TUNISIA;37;2;1;0;1
24ème;Taleb.Bot;D10; ALGERIA;2;2;0;0;2
25ème;NTHU DIT;D15; TAIWAN;1;2;0;0;2
26ème;Polybot;D11; ALGERIA;0;1;0;0;1
