;Équipe;Stand;Origine;Cumul pts.;Joués;Vict.;Égal.;Déf.
1er;VRAC;K11; Cachan;574;4;4;0;0
2nd;RCVA;E9; Ville d’avray;571;4;4;0;0
3ème;Club Tech RED;C10; Gif sur yvette;452;4;3;0;1
4ème;Robot ESEO;P5; Angers;433;4;4;0;0
5ème;7Robot;E10; Toulouse;424;4;4;0;0
6ème;ARIG;P8; Chasse sur rhône;420;4;3;0;1
6ème;CRAC1;K12; Cachan;420;4;4;0;0
6ème;SUDRIABOTIK;M11; Ivry-sur-seine;420;4;3;0;1
9ème;Coffee Machine;A2; Le kremlin-bicêtre;395;4;4;0;0
10ème;Kameleon;M2; Tours;393;4;3;0;1
11ème;COGIP;A9; Rennes;390;4;3;0;1
12ème;Club Tech CentraleSupélec;C9; Gif sur yvette;388;4;3;0;1
13ème;Ze Crazy Team;N4; Lans en vercors;380;4;4;0;0
14ème;Les Karibous;C17; Amiens;372;4;3;0;1
15ème;TeamDiff;B6; Metz;370;4;2;0;2
16ème;MiAM Robotique;A10; Paris;364;4;3;0;1
17ème;Mécapi;C6; Bordeaux;341;4;1;0;3
18ème;coc’otter;L3; Castres;338;4;3;0;1
19ème;Rocking Giraffe Robotics;C11; Bourgoin jallieu;335;4;2;0;2
20ème;Edog&Leo;A8; Zürich;333;4;2;0;2
21ème;TDS-Team Robotique 72;C13; St denis des coudrais;324;4;3;0;1
22ème;Lucid;G2; Brissac-loire-aubance;316;4;2;0;2
23ème;Zest Machine;P6; Lyon;306;4;2;0;2
24ème;Goldorak;A1; Nanterre;301;4;3;0;1
25ème;Enac Robotique;K8; Toulouse;298;4;0;0;4
26ème;Sartroubot;K17; Sartrouville;293;4;3;1;0
27ème;Mars Attacks!;A7; Anglet;292;4;2;0;2
28ème;Les brasseurs d’idées;G12; Saint barthélemy d’anjou;271;4;3;0;1
29ème;Roboticam Vendée;B4; Couffe;268;4;1;0;3
29ème;Asso R2T2;G11; Avignon;268;4;1;0;3
31ème;UTCoupe;E7; Compiègne;263;4;3;0;1
32ème;École Iféa;H10; Clichy;260;4;1;0;3
33ème;Evolutek;B1; Le kremlin-bicêtre;259;4;2;0;2
33ème;R3EA;E5; Reims;259;4;3;0;1
33ème;PM-ROBOTIX;A3; Villerupt;259;4;2;0;2
36ème;Roboticam Vendée 2;B5; La roche sur yon;258;4;2;0;2
37ème;SiERA;E2; Montigny-le-bretonneux;247;4;2;0;2
38ème;Krabi;C7; Nanterre;245;4;2;0;2
39ème;Robot Club Toulon;K18; La garde;240;4;2;0;2
40ème;UniDucks;H4; Amiens;239;4;4;0;0
41ème;Robotronik PHELMA;H1; Cachan;221;4;3;0;1
42ème;Opossums;K19; Toulouse;212;4;1;0;3
43ème;EsialRobotik;M14; Tomblaine;204;4;3;0;1
