#;;Équipe 1;Score;;Équipe 2;
31;D12;TDA;147;99;Bodensee RobotiX;L7
32;D21;GRUM;0;60;+381Robotics;L13
33;L11;NaW Robotics;73;107;Bobst;L4
34;D3;Red Wire;117;72;Bot save the queen;D19
35;D18;IEEE RAS INSAT;105;132;RTFM;L6
36;D15;NTHU DIT;31;53;HMU Robotics Club;D16
37;L10;MAI;107;67;Hyperion Robotics;D9
38;D4;The engineering way (TEW);64;1;Polybot;D11
39;D6;Gramme ‘N Roll;51;63;TeamAuto;L5
40;D10;Taleb.Bot;1;66;DIT Robotics;D14
41;D5;MonSymphony;108;66;Team Dynamics;D13
42;d7;Golden Wires UAH;70;81;Aerobotix INSAT;D17
43;L12;FTN-electropioneer;131;69;TURAG;D2
