#;Stand;Équipe 1;Score;;Équipe 2;Stand;timecode;
147;C11;Rocking Giraffe Robotics;85;73;Lucid;G2;;
148;M5;Metal Pipe;43;0;CRUBS;K5;;
149;K15;Eigstatix;9;1;ENSTAR Robotique;P11;;
150;M9;ESTIA SYSTEM;21;50;IUT_Nice;M12;;
151;B9;Robotech;29;1;INTech;K1;;
152;A2;Coffee Machine;95;90;Enac Robotique;K8;;
153;E8;ChampiCircuits;69;61;E.S.C.Ro.C.S.;k7;;
155;N4;Ze Crazy Team;140;61;Roboticam Vendée 2;B5;;
156;K18;Robot Club Toulon;63;55;Les Karibelles;C18;;
157;P10;FIPATECH;48;1;IZARRA;M8;;
158;M1;Pokibot;36;81;CRAC2;K13;;
159;G9;DaVinciBot;64;89;Robotronik PHELMA;H1;;
160;M13;HARPers;36;31;Esig’tronix;K20;;
161;C8;SUSSUS INVADERS;11;90;Breizh Bot;E11;;
162;C2;Modelec ISEN;22;1;HoloBot (ENSIL-ENSCI);G4;;
163;K3;Ares ENSEA;26;1;ENSMASTEEL;M7;;
164;M11;SUDRIABOTIK;127;66;École Iféa;H10;;
165;K14;Tuxae;30;60;CD-ROMS;M10;;
166;P13;CRLG;72;21;Supaero Robotik Club;A5;;
167;L3;coc’otter;76;53;UTCoupe;E7;;
168;A7;Mars Attacks!;49;55;Nantrobot;P12;;
169;M2;Kameleon;107;60;Evolutek;B1;;
170;G12;Les brasseurs d’idées;103;124;TeamDiff;B6;;
171;C7;Krabi;52;38;OverTheRainBot Ense3;E3;;
172;P8;ARIG;115;57;Opossums;K19;;
173;E2;SiERA;69;47;Lab Sciren Robotics;C5;;
174;H4;UniDucks;70;56;PM-ROBOTIX;A3;;
175;P2;Polybold;63;127;Club Tech CentraleSupélec;C9;;
176;G11;Asso R2T2;92;93;Les Karibous;C17;;
177;C10;Club Tech RED;92;89;Zest Machine;P6;;
178;H5;Clubelek;95;88;Mécapi;C6;;
179;G5;Mecatronica (ENSIL-ENSCI);65;21;Eceborg;B3;;
180;G6;Robotnik (ENSIL-ENSCI);1;21;INSA Toulouse;D8;;
181;A1;Goldorak;63;0;TDS-Team Robotique 72;C13;;
182;B8;ENSIM’Elec;63;39;Team Chat Robotique;C1;;
183;E5;R3EA;94;70;Robooh (ENSIL-ENSCI);G3;;
184;M6;ARC;24;21;Club Robotique – MAKERS ECAM LYON;B10;;
185;B4;Roboticam Vendée;91;93;Edog&Leo;A8;2406;2542
186;E6;Sharp’Attack;73;59;A cappella (Sikula Robotik);A4;;
187;A10;MiAM Robotique;131;26;RATP;H7;;
188;C14;TDS-Team Familly;51;49;Eirbot;M3;;
189;M14;EsialRobotik;58;48;CRIG-1;G7;;
190;K16;ARTeC;59;51;PinMode;R2;;
191;H6;CRENIM;31;160;RCVA;E9;;
192;H11;LYCEE DE L’ARC SI ARC-BOT;44;25;CreamBot;K9;;
193;K11;VRAC;156;36;COGIP;A9;;
194;E10;7Robot;88;9;Magic Syst’eirb;M4;;
195;C3;Les Cavistes;45;54;UniWIP;H9;;
196;G8;CRIG-2;44;66;Sartroubot;K17;;
197;P5;Robot ESEO;140;1;K-R1BOU;E1;;
198;P3;Rock n RIR;1;64;Riombotique;D1;;
200;K12;CRAC1;122;37;EagleTech;A11;;
201;C12;UniGaffr;55;30;Projet & Tech’;L2;;
202;C4;IronBot;0;31;Polybot Grenoble;P1;;
204;K2;Centrale Lille Makers;31;40;[Robot en bois];XX;;
