#;Stand;Équipe 1;Score;Stand;Équipe 2;
205;K16;ARTeC;0;75;Team Chat Robotique;C1
206;M10;CD-ROMS;75;116;7Robot;E10
207;E2;SiERA;63;0;TDS-Team Robotique 72;C13
208;B5;Roboticam Vendée 2;59;53;CRIG-2;G8
209;K13;CRAC2;56;0;IronBot;C4
210;K1;INTech;0;28;Les Cavistes;C3
211;K12;CRAC1;121;50;ARIG;P8
212;G6;Robotnik (ENSIL-ENSCI);21;71;RATP;H7
213;G9;DaVinciBot;51;69;ENSIM’Elec;B8
214;A7;Mars Attacks!;103;31;SUSSUS INVADERS;C8
215;E3;OverTheRainBot Ense3;77;59;LYCEE DE L’ARC SI ARC-BOT;H11
216;P5;Robot ESEO;81;82;Les Karibous;C17
219;N4;Ze Crazy Team;130;95;Rocking Giraffe Robotics;C11
220;M2;Kameleon;49;72;Club Tech RED;C10
221;G4;HoloBot (ENSIL-ENSCI);21;26;ESTIA SYSTEM;M9
222;C14;TDS-Team Familly;58;54;FIPATECH;P10
223;P4;Conqué RIR;23;52;Projet & Tech’;L2
224;H6;CRENIM;51;1;K-R1BOU;E1
225;K17;Sartroubot;51;79;CRLG;P13
226;C12;UniGaffr;0;87;Asso R2T2;G11
227;D8;INSA Toulouse;0;66;Eceborg;B3
228;K2;Centrale Lille Makers;48;50;CreamBot;K9
229;M1;Pokibot;31;39;Breizh Bot;E11
230;R2;PinMode;65;63;Sharp’Attack;E6
231;M4;Magic Syst’eirb;53;102;coc’otter;L3
232;M6;ARC;73;0;CyBotics;P14
233;A5;Supaero Robotik Club;23;1;Eigstatix;K15
234;H3;AREM;41;35;Robotech;B9
235;K19;Opossums;57;1;Goldorak;A1
237;B4;Roboticam Vendée;83;46;CRIG-1;G7
238;G12;Les brasseurs d’idées;98;35;RobotikUTT;E4
239;k7;E.S.C.Ro.C.S.;42;65;IUT_Nice;M12
241;K18;Robot Club Toulon;55;124;MiAM Robotique;A10
242;P2;Polybold;61;36;CRUBS;K5
244;A2;Coffee Machine;110;136;TeamDiff;B6
245;D1;Riombotique;55;87;ChampiCircuits;E8
246;G2;Lucid;132;86;UTCoupe;E7
248;K3;Ares ENSEA;46;63;R3EA;E5
249;P11;ENSTAR Robotique;21;0;Robotek Orléans;B7
250;A4;A cappella (Sikula Robotik);69;57;UniWIP;H9
251;M7;ENSMASTEEL;0;80;Tuxae;K14
252;P6;Zest Machine;85;136;VRAC;K11
253;M11;SUDRIABOTIK;66;59;Metal Pipe;M5
254;M3;Eirbot;79;45;Nantrobot;P12
255;G3;Robooh (ENSIL-ENSCI);77;175;RCVA;E9
256;C7;Krabi;82;0;HARPers;M13
257;H10;École Iféa;97;76;Mecatronica (ENSIL-ENSCI);G5
258;K20;Esig’tronix;31;9;Rock n RIR;P3
259;K8;Enac Robotique;95;21;UniDucks;H4
260;M14;EsialRobotik;104;23;Polybot Grenoble;P1
261;A11;EagleTech;28;144;COGIP;A9
262;C5;Lab Sciren Robotics;59;61;Modelec ISEN;C2
263;B1;Evolutek;150;55;Robotronik PHELMA;H1
264;H5;Clubelek;83;55;Les Karibelles;C18
266;B10;Club Robotique – MAKERS ECAM LYON;56;90;Mécapi;C6
267;A3;PM-ROBOTIX;86;117;Club Tech CentraleSupélec;C9
