;Équipe;Stand;Origine;Cumul;Joués;Vict.;Égal.;Déf.
;;;;pts.;;;;
1er;Bobst;L4; SWITZERLAND;141;1;1;0;0
2nd;Hyperion Robotics;D9; GREECE;139;1;1;0;0
3ème;Team Dynamics;D13; AUSTRIA;137;1;1;0;0
4ème;Bot save the queen;D19; BELGIUM;117;1;1;0;0
5ème;IEEE RAS INSAT;D18; TUNISIA;110;1;1;0;0
6ème;Red Wire;D3; SPAIN;108;1;1;0;0
7ème;NaW Robotics;L11; SERBIA;101;1;1;0;0
7ème;MAI;L10; GERMANY;101;1;1;0;0
9ème;Bodensee RobotiX;L7; GERMANY;99;1;0;0;1
10ème;GRUM;D21; CANADA;79;1;1;0;0
11ème;RTFM;L6; SWITZERLAND;75;1;0;0;1
12ème;The engineering way (TEW);D4; SPAIN;69;1;0;0;1
13ème;MonSymphony;D5; BELGIUM;66;1;1;0;0
14ème;Gramme ‘N Roll;D6; BELGIUM;59;1;0;0;1
15ème;+381Robotics;L13; SERBIA;52;1;0;0;1
16ème;FTN-electropioneer;L12; SERBIA;51;1;1;0;0
17ème;DIT Robotics;D14; TAIWAN;41;1;0;0;1
18ème;TeamAuto;L5; SWITZERLAND;30;1;0;0;1
19ème;Golden Wires UAH;d7; SPAIN;26;1;0;0;1
20ème;TDA;D12; AUSTRIA;21;1;0;0;1
21ème;TURAG;D2; GERMANY;11;1;1;0;0
21ème;Aerobotix INSAT;D17; TUNISIA;11;1;0;0;1
23ème;Taleb.Bot;D10; ALGERIA;1;1;0;0;1
24ème;NTHU DIT;D15; TAIWAN;0;1;0;0;1
