#;;Équipe 1;Score;;Équipe 2;
18;D15;NTHU DIT;1;26;Aerobotix INSAT;D17
19;L11;NaW Robotics;119;117;Red Wire;D3
20;L4;Bobst;100;31;DIT Robotics;D14
21;L10;MAI;76;104;Bodensee RobotiX;L7
22;D2;TURAG;72;133;MonSymphony;D5
23;D18;IEEE RAS INSAT;85;122;Bot save the queen;D19
24;D11;Polybot;0;1;Taleb.Bot;D10
25;L12;FTN-electropioneer;79;78;The engineering way (TEW);D4
26;d7;Golden Wires UAH;45;174;TDA;D12
27;L6;RTFM;120;58;GRUM;D21
28;L5;TeamAuto;80;48;HMU Robotics Club;D16
29;L13;+381Robotics;30;70;Gramme ‘N Roll;D6
30;D13;Team Dynamics;179;0;Hyperion Robotics;D9
